Sa2code,Total,Japanese,Hungarian,English,Serbian,Spanish,Australian Indigenous,Chinese,Austronesian,Thai,Arabic,Russian,Assyrian,Turkish,Greek,Iranic,Polish,Croatian,Korean,Maltese,French,Dutch,Italian,Vietnamese,Germa,Samoan,Macedonian,Indo Aryan,Tamil,Khmer,Portuguese
209041217,6124,3,5,3038,24,39,6,508,88,11,192,10,8,13,370,24,21,116,3,29,6,0,452,80,13,0,313,170,21,3,3
209041218,26857,19,10,13941,138,136,0,672,428,25,1132,21,120,339,898,211,38,97,10,160,74,11,1517,462,34,116,1912,1916,410,71,73
210031236,6576,7,6,3363,6,57,0,197,65,11,367,8,24,160,398,28,27,32,0,32,22,5,733,64,16,9,6,333,6,3,20
210031237,12597,8,3,4094,18,49,0,121,152,6,1341,14,364,412,583,80,44,82,0,157,23,9,2317,133,41,62,16,1453,44,0,10
209041219,19874,11,12,6170,116,86,6,461,224,9,2034,14,175,515,1634,104,27,120,10,173,20,3,1983,1213,33,96,1999,1038,114,120,45
210051244,34319,6,39,19777,61,222,7,285,686,28,1186,34,927,1602,528,101,69,184,8,249,33,8,1203,105,29,532,327,3115,138,9,68
209041220,18234,21,6,10016,108,78,3,517,221,11,708,17,98,127,960,91,54,126,14,144,31,10,1404,168,24,37,1357,630,197,22,54
209041221,12283,17,10,6927,56,71,0,463,269,22,457,11,44,38,712,62,32,80,17,61,22,0,612,270,13,19,573,355,204,28,17
209041222,38322,28,15,28058,180,203,3,341,336,33,604,50,106,118,772,143,34,126,27,123,46,34,1649,134,62,81,1465,1188,250,29,44
209041223,20332,9,6,5328,128,77,0,654,152,24,1711,16,81,591,1574,171,27,159,0,208,22,3,2269,1588,24,100,2381,1221,96,137,57
210011228,8311,0,5,5640,59,43,0,131,37,4,131,8,37,42,315,3,54,138,3,68,4,11,866,86,35,6,99,56,11,0,9
210011231,9040,6,6,7247,14,39,0,94,16,6,103,6,4,90,250,0,24,29,0,37,18,5,411,40,20,0,11,126,6,0,11
210021232,11077,12,3,10201,3,28,0,40,36,4,10,4,0,11,31,0,10,32,0,35,20,23,113,6,50,0,9,15,3,3,0
210021233,3183,5,0,2953,0,0,0,0,3,0,0,0,0,0,8,0,12,3,0,6,4,8,25,0,24,0,0,0,0,0,3
210021234,3753,3,3,3582,0,6,0,6,0,3,0,0,0,13,12,0,0,0,0,13,3,6,22,0,18,0,6,0,0,0,0
210031238,27778,14,25,13593,79,153,3,596,250,29,2458,38,210,1098,855,214,212,198,35,332,55,27,2374,284,65,89,64,1900,60,0,31
210051247,14844,3,3,3697,48,200,0,56,199,7,2306,0,1226,3909,200,45,59,55,0,52,16,0,158,735,11,171,28,454,9,0,58
210031239,20660,38,14,12620,51,111,0,527,170,26,858,37,21,446,792,151,104,56,59,111,38,7,1954,101,47,7,48,860,32,0,33
210041240,12637,7,8,11209,12,50,0,41,75,6,32,5,9,23,67,0,31,43,8,87,12,18,208,11,35,8,6,99,0,0,8
210041241,24215,23,25,21523,33,57,3,89,133,30,84,22,8,29,115,6,41,96,3,92,29,27,312,32,76,22,38,125,6,0,11
210051242,11695,0,7,4483,56,126,0,173,167,23,1914,0,507,891,160,54,37,68,4,52,4,0,198,283,7,148,31,611,29,8,26
210051250,6266,6,24,3767,55,38,3,106,73,10,302,0,89,78,309,9,24,76,0,88,10,3,470,19,18,41,21,177,11,0,18
211011251,11241,19,40,8425,24,66,0,609,143,10,40,15,0,10,91,46,75,34,12,6,23,40,73,77,309,7,14,298,40,38,11
210051243,16030,7,12,3950,66,86,0,84,163,13,3086,13,1435,2854,438,57,20,127,0,175,18,7,629,292,6,162,35,489,24,0,25
210051245,17108,14,32,11008,132,117,0,212,173,7,815,16,334,443,547,15,67,191,12,187,18,11,1207,101,41,92,34,346,0,0,22
210051246,12103,3,6,6846,78,60,0,108,82,6,663,7,262,742,379,11,32,189,3,142,20,3,1589,41,18,28,122,219,6,7,14
211011252,25051,34,76,21319,50,99,0,561,135,48,55,42,0,13,112,57,71,23,20,5,57,97,197,66,332,10,6,371,61,21,7
210051249,20052,4,6,6125,63,185,0,246,557,3,2644,13,2525,3124,269,56,57,55,0,60,21,3,558,276,18,145,85,1260,109,3,67
211011254,13033,11,33,9682,22,55,3,956,152,14,55,22,0,8,170,112,39,19,40,6,41,36,138,133,79,6,4,538,125,57,4
211011253,28074,18,54,23996,31,107,4,620,213,37,107,39,0,12,182,69,98,48,49,13,39,93,344,58,233,8,23,365,53,30,16
