value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, value_non_resial_building_aud000, sa2_code, value_alterations_additions_conversions_resial_building_aud000, sa2_name
101056.3,168,206342.6,40273.1,170,58444.5,338,105286.2,"212041314",2338.7,"Keysborough"
3493.5,5,7800.0,1228.6,5,1512.0,10,4306.4,"212041316",753.0,"Noble Park North"
30527.2,40,58109.0,12313.9,59,16130.7,100,27581.9,"212041317",2082.5,"Springvale"
7252.8,18,28391.5,0.0,0,5421.2,18,21138.7,"212041318",1831.6,"Springvale South"
22190.2,22,54046.1,13306.7,72,7133.6,94,31855.9,"212041460",1749.9,"Noble Park - West"
76940.8,92,129280.8,32622.2,107,40984.8,201,52339.9,"212051319",3333.8,"Ashwood - Chadstone"
37536.0,46,348631.4,21802.9,82,13665.6,129,311095.4,"212051320",2067.5,"Clayton"
71347.4,97,90979.4,8929.3,24,58508.6,121,19632.0,"212051321",3909.5,"Glen Waverley - East"
77219.4,87,404084.3,20503.5,51,53431.1,138,326864.9,"212051322",3284.8,"Glen Waverley - West"
84831.1,94,85822.4,31681.7,92,50880.0,186,991.3,"212051323",2269.5,"Mount Waverley - North"
77019.6,92,93961.0,25690.1,61,46753.0,153,16941.4,"212051324",4576.5,"Mount Waverley - South"
22504.2,36,95887.0,6797.8,22,12982.2,60,73382.8,"212051325",2724.2,"Mulgrave"
94138.8,62,117110.3,59953.4,242,28144.1,306,22971.5,"212051326",6041.3,"Oakleigh - Huntingdale"
42005.4,47,53930.5,5839.5,12,31761.0,59,11925.1,"212051327",4404.9,"Wheelers Hill"
10327.0,13,14096.7,6718.0,37,2595.6,50,3769.8,"213011328",1013.4,"Ardeer - Albion"
9515.3,19,10145.3,400.0,2,8681.6,21,630.0,"213011329",433.8,"Cairnlea"
7947.5,10,12635.2,3065.0,15,2683.5,26,4687.7,"213011332",2199.0,"Keilor Downs"
17238.1,23,216775.0,8048.2,40,7829.9,64,199536.9,"213011330",1360.0,"Deer Park - Derrimut"
722.2,0,1058.7,430.0,2,0.0,2,336.5,"213011331",292.2,"Delahey"
11357.7,12,11546.8,8146.0,42,2603.1,54,189.1,"213011333",608.6,"Kings Park (Vic.)"
23418.1,26,31339.2,16503.9,92,5961.8,118,7921.1,"213011334",952.3,"St Albans - North"
53419.2,56,110308.9,35254.9,161,16146.9,217,56889.6,"213021343",2017.5,"Altona North"
14379.2,10,164745.8,11346.7,44,2130.7,54,150366.5,"213011335",901.9,"St Albans - South"
18490.3,31,32777.0,7682.9,39,9049.5,70,14286.6,"213011337",1757.9,"Sunshine North"
19282.2,28,46185.4,8724.2,44,7193.0,72,26903.3,"213011336",3364.9,"Sunshine"
3716.5,2,8071.7,2105.1,13,835.2,15,4355.2,"213011339",776.2,"Sydenham"
17277.2,34,36316.9,5925.3,32,8330.4,71,19039.6,"213011338",3021.5,"Sunshine West"
8029.1,6,18221.6,1340.8,2,3773.7,8,10192.5,"213011340",2914.6,"Taylors Lakes"
56172.6,46,90497.9,36491.9,126,16770.5,172,34325.4,"213021341",2910.2,"Altona"
74098.3,37,86547.9,48129.1,178,12878.1,215,12449.6,"213021344",13091.1,"Newport"
1378.7,3,1378.7,0.0,0,479.4,3,0.0,"213021345",899.2,"Seabrook"
